F0,F1,F2,F3,F4,F5,F6,F7,F8,Task1,Task2
24,62500,M,2.0,E,6000,5.79,0.1,N,0,A
25,53000,R,6.0,M,3000,13.99,0.06,Y,0,C
43,44000,O,18.0,M,8000,9.32,0.18,N,0,A
39,40000,O,4.0,V,1000,10.37,0.03,N,0,B
21,35000,O,5.0,V,8000,9.91,0.23,N,0,B
22,24000,R,2.0,P,5000,8.94,0.21,N,0,A
22,69000,M,6.0,M,6500,5.99,0.09,N,0,A
27,72000,M,7.0,M,6500,6.03,0.09,N,0,A
24,35000,R,1.0,D,12000,6.54,0.34,N,1,A
27,136000,M,3.0,P,5000,6.17,0.04,N,0,A
22,52000,M,6.0,V,2650,12.99,0.05,Y,0,C
23,120000,M,0.0,E,23000,11.03,0.19,N,0,C
33,60000,M,5.0,P,2000,5.42,0.03,N,0,A
31,69000,R,12.0,H,16000,5.99,0.23,N,0,A
21,45000,R,3.0,P,10000,10.25,0.22,N,0,B
23,56000,R,7.0,V,4000,15.23,0.07,Y,0,C
23,59000,R,8.0,V,17000,10.25,0.29,N,0,B
36,37000,M,5.0,M,3000,18.39,0.08,Y,1,E
22,40000,M,6.0,D,7000,9.32,0.17,N,0,A
22,82000,R,2.0,E,1600,11.89,0.02,N,0,B
28,54000,R,2.0,E,13000,15.23,0.24,N,1,C
22,80000,M,7.0,E,1500,10.37,0.02,N,0,B
40,70000,M,16.0,H,12000,5.79,0.17,N,0,A
22,70550,R,4.0,M,12000,15.68,0.14,N,1,E
22,30000,R,6.0,E,6000,7.51,0.2,N,0,A
38,48996,M,6.0,E,5000,7.29,0.1,N,0,A
31,24000,R,0.0,M,3500,6.17,0.15,N,0,A
23,50004,M,8.0,E,2000,11.91,0.04,Y,0,C
26,27000,M,2.0,P,3025,15.95,0.11,N,0,D
22,30000,M,3.0,H,10000,13.49,0.33,N,1,C
22,33000,R,6.0,E,9000,11.99,0.27,N,0,B
26,34400,R,5.0,M,4200,8.9,0.12,N,0,A
40,54000,R,7.0,P,12000,10.62,0.22,N,0,B
32,55000,O,4.0,H,15250,16.35,0.28,Y,0,E
26,130000,M,9.0,E,7000,8.0,0.05,N,0,A
31,77940,M,3.0,D,16250,10.99,0.21,N,0,B
29,36100,M,2.0,P,14000,14.27,0.39,N,0,C
31,35000,M,2.0,D,10225,9.99,0.29,N,0,B
27,124000,M,9.0,P,4350,11.49,0.04,N,0,B
29,72000,M,13.0,V,22100,7.29,0.31,N,0,A
25,48000,M,6.0,V,3200,6.99,0.07,N,0,A
24,100000,R,5.0,H,12000,7.9,0.12,N,0,A
22,44582,R,6.0,H,4000,5.99,0.09,N,1,A
27,60000,R,3.0,P,4800,13.35,0.08,Y,0,C
22,50000,R,1.0,M,16800,12.53,0.34,N,1,B
38,34000,R,19.0,M,6000,7.9,0.18,N,0,A
24,24996,R,0.0,E,4000,9.45,0.16,N,0,B
28,32500,M,12.0,E,5000,7.14,0.15,N,0,A
30,75000,R,0.0,P,5000,10.62,0.07,N,0,B
24,64000,M,5.0,V,12000,16.77,0.19,N,0,D
21,53000,O,5.0,M,3000,7.51,0.06,N,0,A
28,62040,R,0.0,D,13400,13.06,0.22,Y,0,C
28,25000,R,0.0,D,3000,5.42,0.12,N,0,A
25,43000,R,9.0,M,1200,8.49,0.03,N,0,A
25,40000,M,8.0,D,10000,7.14,0.25,N,0,A
30,75000,R,5.0,H,22000,10.62,0.29,N,0,B
24,48000,M,3.0,D,4800,9.99,0.1,N,0,B
25,50000,M,6.0,H,11200,14.27,0.22,Y,0,C
27,78200,O,4.0,M,35000,17.99,0.38,Y,1,E
24,90000,M,8.0,P,8000,9.91,0.09,N,0,B
32,85000,R,7.0,D,6000,11.71,0.07,N,0,B
23,85272,R,7.0,E,5000,11.11,0.06,N,0,B
35,66000,M,6.0,D,9100,12.42,0.14,N,0,B
22,14400,O,0.0,P,2100,11.14,0.15,N,0,B
60,37200,M,2.0,P,10000,6.54,0.27,N,1,A
29,40000,M,13.0,V,1400,5.99,0.04,N,0,A
25,45996,R,3.0,V,11500,12.53,0.25,N,0,C
29,68000,M,14.0,P,15000,12.73,0.22,Y,0,C
36,45600,M,6.0,V,10000,13.49,0.22,Y,0,C
22,140000,M,6.0,E,10000,10.99,0.07,N,0,B
21,59000,R,1.0,E,5500,5.42,0.09,N,0,A
44,150000,M,17.0,P,25000,13.43,0.17,N,0,C
29,105000,M,11.0,H,15000,14.42,0.14,Y,0,D
21,35000,M,5.0,D,4800,10.99,0.14,N,0,B
28,100000,M,4.0,V,20000,11.48,0.2,N,0,B
24,67000,M,2.0,H,12150,10.37,0.18,N,0,B
21,192000,M,0.0,E,20000,6.54,0.1,N,0,A
23,100000,M,0.0,D,7000,8.59,0.07,N,0,A
31,55000,M,3.0,D,6250,9.99,0.11,N,0,B
27,34000,R,0.0,D,5600,15.96,0.16,Y,1,C
30,100000,R,1.0,P,1000,11.71,0.01,N,0,B
22,26400,R,0.0,H,2400,13.92,0.09,N,1,C
35,65412,R,12.0,H,19000,11.14,0.29,N,0,B
23,56000,R,2.0,P,12000,10.75,0.21,N,0,B
22,52000,R,3.0,P,12000,13.57,0.23,Y,0,C
22,63600,O,1.0,V,4000,6.76,0.06,N,0,A
32,59000,R,1.0,P,8000,14.96,0.14,Y,1,D
22,41000,O,0.0,P,1000,6.99,0.02,N,0,A
24,65000,R,3.0,P,10000,12.42,0.15,N,0,B
22,51000,R,4.0,E,9000,15.33,0.18,N,0,D
48,33500,R,1.0,H,1500,14.74,0.04,N,1,D
24,69000,R,2.0,D,16000,11.89,0.23,N,1,B
30,76000,M,5.0,H,6250,7.88,0.08,N,0,A
32,300000,M,2.0,M,24000,12.87,0.08,N,0,C
29,63533,R,0.0,P,5400,7.66,0.08,N,0,A
24,74400,R,1.0,M,3500,7.29,0.05,N,0,A
26,27000,R,0.0,E,2500,13.61,0.09,N,0,C
32,53100,M,14.0,M,7500,11.26,0.14,N,0,B
23,55000,M,7.0,M,10000,13.99,0.18,Y,0,C
25,80000,M,9.0,D,10250,5.42,0.13,N,0,A
22,55000,R,6.0,P,8000,11.71,0.15,N,0,B
22,49000,R,1.0,H,10500,9.38,0.21,N,1,A
23,75000,R,1.0,M,6000,6.03,0.08,N,0,A
44,80000,M,28.0,V,25000,15.33,0.31,Y,0,D
22,80000,M,5.0,M,9500,11.71,0.12,N,0,B
31,49000,R,2.0,M,3850,9.62,0.08,N,0,B
24,40000,R,2.0,E,7000,11.34,0.17,N,0,C
